bookName, fight, honor, dead, pride, greed, lead, friend, love, justice, trick, smart, plot, sad, husband, steady, courage, skill, dedication, grace, charm, coward, devoted, fate, future, tired, old, king, beauty, wife, white
The Strange Case of Dr. Jekyll and Mr. Hyde.txt, 0.0, 0.0, 0.0003108003108003108, 0.0, 3.885003885003885e-05, 7.77000777000777e-05, 0.0004662004662004662, 0.00011655011655011655, 0.0, 0.0, 0.0, 0.0, 7.77000777000777e-05, 0.0, 0.0, 7.77000777000777e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.885003885003885e-05, 7.77000777000777e-05, 0.0, 0.0010878010878010878, 0.0, 0.0, 0.0, 0.00027195027195027195
The Romance of Lust.txt, 0.0, 0.0, 2.637909931203309e-05, 1.0551639724813236e-05, 0.0, 6.858565821128603e-05, 0.00021103279449626473, 0.0005275819862406618, 3.693073903684633e-05, 0.0, 1.5827459587219853e-05, 0.0, 7.913729793609927e-05, 0.0003271008314692103, 0.0, 1.5827459587219853e-05, 4.2206558899252944e-05, 0.0, 1.0551639724813236e-05, 4.748237876165956e-05, 0.0, 2.1103279449626472e-05, 3.693073903684633e-05, 0.0001741020554594184, 3.1654919174439706e-05, 0.00035875575064365004, 0.0, 0.00012661967669775882, 0.00040096230954290296, 0.00013717131642257207
Alice_s Adventures in Wonderland.txt, 7.4510096118024e-05, 0.0, 0.000149020192236048, 0.0, 0.0, 0.0, 7.4510096118024e-05, 0.0, 3.7255048059012e-05, 0.0, 0.0, 0.0, 7.4510096118024e-05, 0.0, 3.7255048059012e-05, 3.7255048059012e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000260785336413084, 0.00048431562476715595, 0.001043141345652336, 0.0, 0.0, 0.001043141345652336
Frankenstein.txt, 0.0, 0.0, 0.00017287234042553192, 3.9893617021276594e-05, 0.0, 9.308510638297873e-05, 0.0002925531914893617, 0.0005452127659574468, 0.00010638297872340425, 0.0, 0.0, 1.3297872340425532e-05, 0.00010638297872340425, 2.6595744680851064e-05, 2.6595744680851064e-05, 0.00017287234042553192, 1.3297872340425532e-05, 0.0, 2.6595744680851064e-05, 2.6595744680851064e-05, 1.3297872340425532e-05, 0.00018617021276595746, 0.00010638297872340425, 0.00022606382978723405, 0.0, 0.000625, 3.9893617021276594e-05, 0.0002526595744680851, 3.9893617021276594e-05, 0.00013297872340425532
Treasure Island.txt, 0.0001295784381478922, 0.0, 0.0007054826076940797, 1.4397604238654687e-05, 0.0, 5.759041695461875e-05, 7.198802119327344e-05, 1.4397604238654687e-05, 1.4397604238654687e-05, 1.4397604238654687e-05, 7.198802119327344e-05, 0.0, 2.8795208477309375e-05, 1.4397604238654687e-05, 0.0001151808339092375, 7.198802119327344e-05, 2.8795208477309375e-05, 0.0, 1.4397604238654687e-05, 0.0, 1.4397604238654687e-05, 0.0, 4.319281271596406e-05, 0.0, 4.319281271596406e-05, 0.0016269292789679796, 4.319281271596406e-05, 0.0, 1.4397604238654687e-05, 0.0002591568762957844
The Iliad.txt, 0.00035734367527970025, 1.0510108096461772e-05, 0.00022071227002569722, 0.00012086624310931038, 0.0, 0.00013137635120577214, 0.00027326281050800606, 0.00019969205383277367, 0.00012612129715754126, 5.255054048230886e-06, 1.0510108096461772e-05, 0.0, 0.0004098942157620091, 1.5765162144692657e-05, 2.1020216192923544e-05, 0.0001523965673986957, 5.780559453053975e-05, 0.0, 0.00020494710788100456, 3.1530324289385314e-05, 3.1530324289385314e-05, 3.67853783376162e-05, 0.0007146873505594005, 0.00016816172954338835, 7.882581072346329e-05, 0.0004466795940996253, 0.0007041772424629388, 0.00011035613501284861, 8.933591881992506e-05, 0.00016816172954338835
Dracula.txt, 7.960954579692217e-05, 0.0, 0.00035518105047857584, 1.2247622430295718e-05, 0.0, 6.12381121514786e-05, 0.0007164859121722996, 0.0003858001065543151, 6.123811215147859e-06, 2.4495244860591437e-05, 6.123811215147859e-06, 0.0, 0.00016534290280899221, 0.00020820958131502723, 1.8371433645443577e-05, 6.736192336662645e-05, 0.0, 0.0, 1.2247622430295718e-05, 1.2247622430295718e-05, 6.123811215147859e-06, 1.2247622430295718e-05, 1.8371433645443577e-05, 3.6742867290887153e-05, 7.348573458177431e-05, 0.001047171717790284, 4.8990489721182873e-05, 7.348573458177431e-05, 0.00011022860187266147, 0.0005572668205784552
The Picture of Dorian Gray.txt, 1.2539656664200534e-05, 0.0, 0.00033857072993341444, 6.269828332100267e-05, 0.0, 7.523793998520321e-05, 0.00012539656664200535, 0.0010658708164570454, 1.2539656664200534e-05, 0.0, 6.269828332100267e-05, 1.2539656664200534e-05, 8.777759664940374e-05, 8.777759664940374e-05, 1.2539656664200534e-05, 5.0158626656802136e-05, 0.0, 0.0, 0.00012539656664200535, 0.0002633327899482112, 0.0, 7.523793998520321e-05, 2.5079313328401068e-05, 7.523793998520321e-05, 0.00018809484996300802, 0.0006144431765458261, 0.00010031725331360427, 0.0004012690132544171, 0.00013793622330620587, 0.0006646018032026283
Emma.txt, 6.208981913235687e-06, 0.0, 1.2417963826471374e-05, 9.31347286985353e-05, 0.0, 4.346287339264981e-05, 0.0005712263360176832, 0.0004532556796662051, 9.934371061177099e-05, 1.862694573970706e-05, 0.0, 6.208981913235687e-06, 0.00014901556591765647, 8.692574678529961e-05, 5.588083721912118e-05, 3.1044909566178434e-05, 3.1044909566178434e-05, 0.0, 2.4835927652942748e-05, 5.588083721912118e-05, 0.0, 3.1044909566178434e-05, 1.862694573970706e-05, 5.588083721912118e-05, 7.450778295882823e-05, 0.00047809160731914787, 6.208981913235687e-06, 0.00010555269252500667, 0.0001800604754838349, 4.9671855305885496e-05
Pride and Prejudice.txt, 1.635844627477282e-05, 0.0, 8.17922313738641e-06, 0.00023719747098420593, 0.0, 4.907533882431847e-05, 0.00046621571883102543, 0.00047439494196841185, 4.907533882431847e-05, 0.0, 1.635844627477282e-05, 0.0, 3.271689254954564e-05, 0.00017994290902250104, 8.179223137386411e-05, 8.997145451125052e-05, 2.4537669412159235e-05, 0.0, 8.17922313738641e-06, 4.907533882431847e-05, 0.0, 2.4537669412159235e-05, 1.635844627477282e-05, 8.997145451125052e-05, 2.4537669412159235e-05, 7.36130082364777e-05, 3.271689254954564e-05, 0.00010632990078602335, 0.00018812213215988746, 1.635844627477282e-05
Metamorphosis.txt, 0.0, 0.0, 0.0, 9.05961224859576e-05, 0.0, 0.0, 4.52980612429788e-05, 4.52980612429788e-05, 0.0, 0.0, 4.52980612429788e-05, 0.0, 9.05961224859576e-05, 0.0, 9.05961224859576e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.52980612429788e-05, 0.0, 4.52980612429788e-05, 0.0003170864287008516, 0.000452980612429788, 0.0, 0.0, 9.05961224859576e-05, 0.0003170864287008516
The Adventures of Tom Sawyer.txt, 6.917925729149372e-05, 2.7671702916597487e-05, 0.0007609718302064309, 8.301510874979246e-05, 0.0, 9.68509602080912e-05, 4.150755437489623e-05, 0.0001245226631246887, 4.150755437489623e-05, 0.0, 2.7671702916597487e-05, 0.0, 6.917925729149372e-05, 1.3835851458298743e-05, 4.150755437489623e-05, 1.3835851458298743e-05, 0.0, 0.0, 4.150755437489623e-05, 6.917925729149372e-05, 1.3835851458298743e-05, 0.0, 2.7671702916597487e-05, 4.150755437489623e-05, 0.00011068681166638995, 0.0013005700370800819, 1.3835851458298743e-05, 1.3835851458298743e-05, 4.150755437489623e-05, 0.0003597321379157673
Adventures of Huckleberry Finn.txt, 5.294460229779574e-05, 8.824100382965956e-06, 0.00045885321991422974, 0.0, 0.0, 5.294460229779574e-05, 6.176870268076169e-05, 7.059280306372765e-05, 0.0, 1.7648200765931912e-05, 2.647230114889787e-05, 0.0, 1.7648200765931912e-05, 2.647230114889787e-05, 4.4120501914829784e-05, 1.7648200765931912e-05, 0.0, 0.0, 4.4120501914829784e-05, 8.824100382965956e-06, 8.824100382965956e-06, 0.0, 2.647230114889787e-05, 0.0, 0.00012353740536152338, 0.0022677937984222508, 0.0011294848490196424, 8.824100382965956e-06, 6.176870268076169e-05, 0.0003441399149356723
The Yellow Wallpaper.txt, 0.0, 0.0, 0.00016342539630658605, 0.0, 0.0, 0.00016342539630658605, 0.00016342539630658605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008171269815329302, 0.0006537015852263442, 0.0, 0.0, 0.0, 0.0
